iterations,pop,mate,mutate,correct,accuracy,train_time,test_time
10,10,5,2,2320,78.9921688798,0.371999979019,0.0160000324249
100,10,5,2,2320,78.9921688798,2.36100006104,0.00999999046326
500,10,5,2,2319,78.9581205312,11.0449998379,0.0110001564026
1000,10,5,2,2320,78.9921688798,21.870000124,0.00999999046326
2500,10,5,2,2320,78.9921688798,53.4989998341,0.0110001564026
5000,10,5,2,2320,78.9921688798,93.5290000439,0.010999917984
10,20,10,5,2320,78.9921688798,0.329999923706,0.0090000629425
100,20,10,5,2320,78.9921688798,2.69799995422,0.0090000629425
500,20,10,5,2320,78.9921688798,13.871999979,0.0090000629425
1000,20,10,5,2320,78.9921688798,29.9660000801,0.00999999046326
2500,20,10,5,2320,78.9921688798,69.1649999619,0.0090000629425
5000,20,10,5,2320,78.9921688798,130.802000046,0.00899982452393
10,50,20,5,2273,77.391896493,0.460999965668,0.0090000629425
100,50,20,5,2320,78.9921688798,4.0490000248,0.0090000629425
500,50,20,5,2320,78.9921688798,20.0280001163,0.00699996948242
1000,50,20,5,2320,78.9921688798,39.5570001602,0.00699996948242
2500,50,20,5,2320,78.9921688798,99.4279999733,0.00699996948242
5000,50,20,5,2320,78.9921688798,211.171999931,0.00699996948242
10,100,50,10,2153,73.3060946544,0.959000110626,0.00699996948242
100,100,50,10,2322,79.0602655771,8.55999994278,0.00699996948242
500,100,50,10,2320,78.9921688798,42.4349999428,0.00799989700317
1000,100,50,10,2320,78.9921688798,87.6289999485,0.007000207901
2500,100,50,10,2302,78.379298604,213.928999901,0.00800013542175
5000,100,50,10,2313,78.7538304392,403.86500001,0.00699996948242
10,200,100,10,2309,78.6176370446,1.76300001144,0.00799989700317
100,200,100,10,2269,77.2557030984,15.0020000935,0.00699996948242
500,200,100,10,2320,78.9921688798,73.2279999256,0.00699996948242
1000,200,100,10,2320,78.9921688798,147.472999811,0.00699996948242
2500,200,100,10,2320,78.9921688798,362.769999981,0.00699996948242
5000,200,100,10,2311,78.6857337419,949.819999933,0.00699996948242
10,500,250,20,2252,76.6768811713,4.17199993134,0.00699996948242
100,500,250,20,2317,78.8900238338,35.6080000401,0.00699996948242
500,500,250,20,2320,78.9921688798,175.181999922,0.00600004196167
1000,500,250,20,2320,78.9921688798,897.691999912,0.00699996948242
2500,500,250,20,2320,78.9921688798,887.096999884,0.007000207901
5000,500,250,20,2320,78.9921688798,1863.99300003,0.00699996948242
